network_data,network_parity,local_data,local_parity,throughput
1,1,17,1,2620.445735
1,1,17,2,2382.617456
1,1,17,3,2118.219571
1,1,17,4,1828.148433
1,1,17,5,1675.90512
1,1,17,6,1488.079333
1,1,17,7,1207.572154
1,1,17,8,1057.72343
1,1,17,9,1053.363823
1,1,17,10,1004.464402
1,2,17,1,1785.631511
1,2,17,2,1605.928242
1,2,17,3,1372.93275
1,2,17,4,1245.940939
1,2,17,5,1117.509834
1,2,17,6,964.021447
1,2,17,7,777.279015
1,2,17,8,753.650161
1,2,17,9,708.248783
1,2,17,10,641.766552
1,3,17,1,1326.60628
1,3,17,2,1167.84457
1,3,17,3,1075.67504
1,3,17,4,888.574154
1,3,17,5,821.217945
1,3,17,6,769.242824
1,3,17,7,583.363801
1,3,17,8,540.589218
1,3,17,9,530.258931
1,3,17,10,487.291804
1,4,17,1,1100.650414
1,4,17,2,982.836717
1,4,17,3,868.658767
1,4,17,4,817.782034
1,4,17,5,703.735852
1,4,17,6,624.416417
1,4,17,7,518.472166
1,4,17,8,477.882063
1,4,17,9,443.328843
1,4,17,10,436.46947
1,5,17,1,942.038344
1,5,17,2,775.413282
1,5,17,3,675.616726
1,5,17,4,612.691198
1,5,17,5,588.770214
1,5,17,6,537.163937
1,5,17,7,417.079723
1,5,17,8,390.85135
1,5,17,9,357.487868
1,5,17,10,351.407184
1,6,17,1,796.168725
1,6,17,2,684.681342
1,6,17,3,570.758359
1,6,17,4,541.930785
1,6,17,5,475.018832
1,6,17,6,474.975738
1,6,17,7,383.491443
1,6,17,8,351.165852
1,6,17,9,314.67508
1,6,17,10,307.698031
1,7,17,1,673.314477
1,7,17,2,589.555206
1,7,17,3,498.840556
1,7,17,4,470.055263
1,7,17,5,413.5003
1,7,17,6,413.561047
